hello
 * Serving Flask app 'sherpa.app.app' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: on
{'n_estimators': 300, 'learning_rate': 1.0, 'max_depth': 3, 'min_samples_split': 2, 'verbose': True}
      Iter       Train Loss   Remaining Time 
         1          32.2211           25.50m
         2          30.1379           24.09m
         3          27.7500           24.86m
         4          25.7870           24.94m
         5          24.8951           24.69m
         6          23.7614           24.81m
         7          23.1227           24.50m
         8          22.7603           24.48m
         9          22.3960           24.24m
        10          20.6329           24.25m
        20          17.9723           23.57m
        30          16.5654           22.80m
        40          15.7755           21.95m
        50          14.9747           21.08m
        60          14.4092           20.32m
        70          13.9623           19.41m
        80          13.4380           18.56m
        90          13.0095           17.72m
       100          12.7228           16.88m
       200          10.9251            8.43m
       300           9.9139            0.00s
{'n_estimators': 180, 'learning_rate': 2, 'max_depth': 4, 'min_samples_split': 9, 'verbose': True}
      Iter       Train Loss   Remaining Time 
         1          40.3656           20.05m
         2          40.3656           19.98m
         3          40.3656           19.84m
         4          40.3656           19.76m
         5          40.3656           19.65m
         6          40.3656           19.52m
         7          40.3656           19.40m
         8          40.3656           19.26m
         9          40.3656           19.14m
        10          40.3656           19.02m
        20          40.3656           17.87m
        30          40.3656           16.74m
        40          40.3656           15.63m
        50          40.3656           14.51m
        60          40.3656           13.39m
        70          40.3656           12.28m
        80          40.3656           11.16m
        90          40.3656           10.04m
       100          40.3656            8.92m
{'n_estimators': 180, 'learning_rate': 0.5, 'max_depth': 1, 'min_samples_split': 4, 'verbose': True}
      Iter       Train Loss   Remaining Time 
         1          37.8577            5.20m
         2          35.7304            5.14m
         3          34.4979            5.11m
         4          33.7415            5.05m
         5          32.9935            5.02m
         6          32.2744            4.98m
         7          31.8325            4.96m
         8          31.5088            4.93m
         9          31.2123            4.89m
        10          30.9227            4.86m
        20          29.1208            4.60m
        30          28.1073            4.31m
        40          27.2710            4.03m
        50          26.6266            3.74m
        60          26.0984            3.45m
        70          25.6778            3.17m
        80          25.3210            2.88m
        90          25.0009            2.59m
       100          24.6850            2.30m
{'n_estimators': 190, 'learning_rate': 0.5, 'max_depth': 4, 'min_samples_split': 5, 'verbose': True}
      Iter       Train Loss   Remaining Time 
         1          33.0553           21.33m
         2          30.0326           21.02m
         3          26.9726           20.28m
         4          25.4006           20.00m
         5          24.4461           19.79m
         6          22.4173           20.05m
         7          21.5934           20.00m
         8          20.6089           19.81m
         9          19.6020           19.83m
        10          18.9540           19.51m
        20          16.1057           18.75m
        30          14.1634           17.60m
        40          13.5659           16.58m
        50          12.7611           15.50m
        60          12.2790           14.38m
        70          11.8350           13.28m
        80          11.4260           12.19m
        90          11.0251           11.06m
       100          10.6970            9.97m
{'n_estimators': 170, 'learning_rate': 0.05, 'max_depth': 6, 'min_samples_split': 5, 'verbose': True}
      Iter       Train Loss   Remaining Time 
         1          39.0108           27.26m
         2          37.8305           27.07m
         3          36.7549           26.87m
         4          35.6842           26.77m
         5          34.7763           26.63m
         6          33.9326           26.41m
         7          32.9596           26.32m
         8          32.1472           26.15m
         9          31.2831           26.03m
        10          30.4683           25.88m
        20          25.4457           24.18m
        30          22.0413           22.23m
        40          19.4535           20.54m
        50          17.6755           18.94m
        60          16.4156           17.44m
        70          15.5016           15.91m
        80          14.6062           14.42m
        90          13.9835           12.82m
       100          13.4314           11.27m
{'n_estimators': 190, 'learning_rate': 1.5, 'max_depth': 2, 'min_samples_split': 4, 'verbose': True}
      Iter       Train Loss   Remaining Time 
         1          35.4855           10.95m
         2          34.1333           11.02m
         3          32.8535           10.79m
         4          30.5133           10.74m
         5          29.6453           10.72m
         6          28.9651           10.70m
         7          28.5336           10.55m
         8          27.8621           10.50m
         9          27.3433           10.45m
        10          26.6797           10.39m
        20          24.0776            9.72m
        30          22.2975            9.12m
        40          21.1058            8.56m
        50          20.1776            8.00m
        60          19.3789            7.40m
        70          18.7271            6.83m
        80          18.2058            6.27m
        90          17.7850            5.69m
       100          17.3033            5.13m
{'n_estimators': 130, 'learning_rate': 1.5, 'max_depth': 6, 'min_samples_split': 9, 'verbose': True}
      Iter       Train Loss   Remaining Time 
         1          29.9438           20.88m
         2          24.9616           21.08m
         3          22.4562           21.06m
         4          21.3587           20.77m
         5          20.4940           20.37m
         6          19.6448           19.81m
         7          19.0322           19.96m
         8          17.8595           19.97m
         9          17.4342           19.67m
        10          17.1494           19.25m
        20          14.9093           17.37m
        30          13.6356           15.99m
        40          12.6237           14.41m
        50          11.8581           12.71m
        60          11.3867           11.12m
        70          10.8989            9.52m
        80          10.4944            7.94m
        90          10.1916            6.38m
       100           9.9232            4.78m
{'n_estimators': 280, 'learning_rate': 1.25, 'max_depth': 2, 'min_samples_split': 4, 'verbose': True}
      Iter       Train Loss   Remaining Time 
         1          34.2654           15.99m
         2          32.7648           16.03m
         3          31.6757           15.56m
         4          30.9341           15.44m
         5          29.5777           15.49m
         6          27.5133           15.41m
         7          26.8571           15.25m
         8          26.3781           15.29m
         9          25.8920           15.26m
        10          25.2527           15.23m
        20          21.9752           14.68m
        30          20.6868           14.05m
        40          19.7825           13.47m
        50          18.8019           12.94m
        60          18.2234           12.37m
        70          17.8397           11.76m
        80          17.2374           11.20m
        90          16.7321           10.64m
       100          16.3514           10.09m
       200          14.3617            4.48m
{'n_estimators': 160, 'learning_rate': 2, 'max_depth': 3, 'min_samples_split': 6, 'verbose': True}
      Iter       Train Loss   Remaining Time 
         1          40.3656           13.30m
         2          40.3656           13.23m
         3          40.3656           13.16m
         4          40.3656           13.06m
         5          40.3656           12.97m
         6          40.3656           12.89m
         7          40.3656           12.81m
         8          40.3656           12.74m
         9          40.3656           12.66m
        10          40.3656           12.58m
        20          40.3656           11.74m
        30          40.3656           10.92m
        40          40.3656           10.07m
        50          40.3656            9.23m
        60          40.3656            8.39m
        70          40.3656            7.55m
        80          40.3656            6.71m
        90          40.3656            5.87m
       100          40.3656            5.03m
{'n_estimators': 130, 'learning_rate': 1.5, 'max_depth': 2, 'min_samples_split': 6, 'verbose': True}
      Iter       Train Loss   Remaining Time 
         1          35.4855            7.39m
         2          34.1333            7.34m
         3          32.8535            7.20m
         4          30.5133            7.16m
         5          29.6453            7.12m
         6          28.9651            7.08m
         7          28.5336            6.99m
         8          27.8621            6.93m
         9          27.3433            6.89m
        10          26.6797            6.83m
        20          24.0776            6.21m
        30          22.2975            5.64m
        40          21.1058            5.07m
        50          20.1776            4.51m
        60          19.3789            3.93m
        70          18.7271            3.37m
        80          18.2058            2.81m
        90          17.7850            2.25m
       100          17.3033            1.69m
{'n_estimators': 300, 'learning_rate': 2, 'max_depth': 2, 'min_samples_split': 3, 'verbose': True}
      Iter       Train Loss   Remaining Time 
         1          40.3656           17.02m
         2          40.3656           16.98m
         3          40.3656           16.83m
         4          40.3656           16.79m
         5          40.3656           16.76m
         6          40.3656           16.72m
         7          40.3656           16.68m
         8          40.3656           16.71m
         9          40.3656           16.65m
        10          40.3656           16.59m
        20          40.3656           16.02m
        30          40.3656           15.47m
        40          40.3656           14.89m
        50          40.3656           14.28m
        60          40.3656           13.71m
        70          40.3656           13.14m
        80          40.3656           12.57m
        90          40.3656           12.00m
       100          40.3656           11.44m
       200          40.3656            5.72m
       300          40.3656            0.00s
{'n_estimators': 110, 'learning_rate': 1.5, 'max_depth': 1, 'min_samples_split': 5, 'verbose': True}
      Iter       Train Loss   Remaining Time 
         1          37.8577            3.11m
         2          35.7242            3.06m
         3          35.0859            3.06m
         4          34.3381            3.03m
         5          33.8017            2.99m
         6          32.8028            2.95m
         7          32.3337            2.93m
         8          31.8385            2.90m
         9          31.4955            2.87m
        10          31.0610            2.85m
        20          27.5859            2.56m
        30          25.8019            2.28m
        40          24.7037            1.99m
        50          24.0547            1.71m
        60          23.4226            1.42m
        70          22.9321            1.14m
        80          22.5866           51.24s
        90          22.2851           34.15s
